fix_notifications_and_deal_authorizations_policies.sql	deal_auth_insert_member	public.deal_authorizations
fix_notifications_and_deal_authorizations_policies.sql	deal_auth_select_business	public.deal_authorizations
fix_notifications_and_deal_authorizations_policies.sql	deal_auth_select_member	public.deal_authorizations
fix_notifications_and_deal_authorizations_policies.sql	deal_auth_update_business	public.deal_authorizations
fix_notifications_and_deal_authorizations_policies.sql	notifications_insert_authenticated	public.notifications
fix_notifications_and_deal_authorizations_policies.sql	notifications_select_own	public.notifications
fix_notifications_and_deal_authorizations_policies.sql	notifications_update_own	public.notifications
fix_notifications_archive_rls.sql	"Admins can delete archived notifications"	notifications_archive
fix_notifications_archive_rls.sql	"Admins can view archived notifications"	notifications_archive
fix_notifications_archive_rls.sql	"System can insert into archive"	notifications_archive
fix_notifications_archive_rls.sql	"Users can view own archived notifications"	notifications_archive
fix_notifications_insert_cross_user.sql	"Allow authenticated users to create notifications"	notifications
fix_notifications_insert_final.sql	"notifications_insert_policy"	notifications
fix_notifications_insert_policy.sql	"Authenticated users can insert notifications"	notifications
fix_notifications_insert_policy.sql	IF NOT EXISTS "System can insert notifications"	notifications
fix_notifications_insert_rls.sql	"notifications_insert_authenticated"	public.notifications
fix_notifications_policy.sql	"Authenticated users can insert notifications"	notifications
fix_notifications_policy.sql	"Service role can insert notifications"	notifications
fix_notifications_rls_for_tp.sql	"Authenticated can insert notifications for any user"	notifications
fix_payment_rls_policy.sql	allowing members to update their own authorizations
-- Specifically needed for payment_completed_at timestamp after payment
CREATE POLICY "deal_auth_update_member"	deal_authorizations
fix_payments_rls.sql	"Admins can insert payments"	public.payments
fix_payments_rls.sql	"Members can insert their own payments"	public.payments
fix_payments_rls.sql	"Trusted partners can insert payments"	public.payments
fix_pre_publish_security.sql	"deal_auth_update_member"	deal_authorizations
fix_pre_publish_security.sql	"members_insert_own_subscriptions"	subscriptions
fix_pre_publish_security.sql	"notifications_insert_own"	notifications
fix_profiles_rls_for_notifications.sql	"Authenticated users can view profiles for FK validation"	profiles
fix_profiles_rls_infinite_recursion.sql	"Admin can view all trusted partners"	trusted_partners
fix_profiles_rls_infinite_recursion.sql	tp_can_read_member_profiles	profiles
fix_profiles_rls_infinite_recursion.sql	tp_can_read_user_qr_codes	user_qr_codes
fix_promotions_member_rls.sql	"Members can view their eligible promotions"	promotions
fix_receipt_rls_policies.sql	"Members and trusted partners can insert receipts"	public.deal_receipts
fix_receipt_rls_policies.sql	"Members and trusted partners can insert virtual receipts"	public.virtual_receipts
fix_recovery_sessions_rls.sql	"Anyone can insert recovery session"	public.recovery_sessions
fix_recovery_sessions_rls.sql	"Anyone can read active recovery sessions"	public.recovery_sessions
fix_rls_always_true_warnings.sql	"Admins can view archived members"	public.archived_members
fix_rls_always_true_warnings.sql	"Authenticated users can insert recovery sessions"	public.recovery_sessions
fix_rls_always_true_warnings.sql	"Authenticated users can view basic profiles"	profiles
fix_rls_always_true_warnings.sql	"Users can insert own notifications"	notifications
fix_rls_policies.sql	"admin_memberships_access"	public.memberships
fix_rls_policies.sql	"admin_profiles_access"	public.profiles
fix_rls_policies.sql	"memberships_insert_policy"	public.memberships
fix_rls_policies.sql	"memberships_select_policy"	public.memberships
fix_rls_policies.sql	"memberships_update_policy"	public.memberships
fix_rls_policies.sql	"profiles_insert_policy"	public.profiles
fix_rls_policies.sql	"profiles_select_policy"	public.profiles
fix_rls_policies.sql	"profiles_update_policy"	public.profiles
fix_subscription_renewals_rls.sql	"Service role can manage renewals"	public.subscription_renewals
fix_subscription_renewals_rls.sql	"Users can insert their own renewal records"	public.subscription_renewals
fix_subscription_renewals_rls.sql	"Users can view their own renewal history"	public.subscription_renewals
fix_tp_deal_image_upload_rls.sql	"Anyone can view deal images"	storage.objects
fix_tp_deal_image_upload_rls.sql	"Trusted partners can delete own deal images"	storage.objects
fix_tp_deal_image_upload_rls.sql	"Trusted partners can update own deal images"	storage.objects
fix_tp_deal_image_upload_rls.sql	to allow trusted partners to upload deal images to their own folder
CREATE POLICY "Trusted partners can upload own deal images"	storage.objects
fix_tp_qr_scan_rls_policies.sql	tp_can_read_member_profiles	profiles
fix_tp_qr_scan_rls_policies.sql	tp_can_read_user_qr_codes	user_qr_codes
